,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
0,1,1,0,2,2,2,2,2,2,2,1,2,1,6,1,2,1,2,2,1,2,1,2,2,2,2,1,4,1,2,6,4804.5189855012795,11,21
1,1,2,0,2,2,2,2,2,2,2,1,2,2,10,2,1,2,1,2,2,1,1,2,1,1,2,2,4,1,2,5,3542.8604703219203,11,20
4,2,1,1,2,2,2,1,2,2,1,1,2,1,10,1,2,1,1,2,2,1,1,1,1,1,2,2,3,2,2,5,1793.82499366693,9,18
5,2,2,2,2,2,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,2,1,1,1,1,2,5,2,4,1587.46765500232,7,17
8,2,3,0,2,2,2,2,2,1,2,1,1,2,20,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,2,4,641.7671994464499,10,18
9,2,1,4,2,2,2,1,2,1,1,1,2,2,3,1,1,2,1,2,1,1,2,1,1,1,2,1,3,2,1,7,1808.39247644787,8,17
10,2,3,3,1,2,2,1,2,2,2,1,2,2,15,2,2,2,2,2,2,1,1,2,1,1,2,1,4,3,2,2,7889.1997939084995,10,21
11,2,2,8,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,10271.2953573793,7,13
12,1,1,0,2,2,2,1,2,2,2,1,2,1,3,2,1,1,2,2,2,2,2,2,1,1,2,1,4,5,2,3,1231.73340899598,10,21
13,1,2,4,2,2,2,1,2,1,2,1,2,1,3,2,2,2,2,2,2,1,1,1,1,2,1,2,4,3,2,3,2605.11408983303,9,21
14,2,2,2,2,2,2,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,6425.57858689715,8,13
15,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,1,4,2619.9839907515898,7,16
17,1,1,0,2,2,2,2,2,1,2,1,2,1,8,2,2,2,2,2,2,2,1,2,2,2,2,1,4,4,1,7,17210.1221651317,10,24
18,4,1,8,1,2,2,1,2,2,2,1,1,2,5,2,1,2,2,2,1,1,1,2,1,1,2,2,4,1,2,3,3792.98737240603,10,20
19,1,1,0,2,2,2,1,2,2,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,1140.33048295139,9,14
20,2,2,6,2,2,2,2,2,2,2,1,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,7,1778.2182173144001,11,26
